fold,case_id,dice,hd95,assd,iou,lesion_f1,lesion_precision,lesion_recall
0,patient01,0.74254,9.00000,1.02867,0.59051,0.29181,0.55405,0.19807
0,patient02,0.50292,44.64525,5.62475,0.33594,0.19608,0.45455,0.12500
0,patient03,0.23568,27.53785,4.26897,0.13358,0.17647,0.37500,0.11538
0,patient04,0.82646,3.00000,0.71452,0.70425,0.31939,0.43750,0.25150
0,patient05,0.67816,9.89949,1.76129,0.51305,0.18935,0.37209,0.12698
0,patient06,0.78145,8.06226,0.91998,0.64130,0.15744,0.39264,0.09846
0,patient07,0.60690,17.78338,2.39785,0.43564,0.34286,0.57143,0.24490
0,patient08,0.61861,19.54482,2.37356,0.44781,0.32653,0.45714,0.25397
0,patient09,0.81323,6.64824,0.78765,0.68525,0.24545,0.42857,0.17197
0,patient10,0.79703,13.15295,1.50034,0.66255,0.36923,0.54545,0.27907
0,patient11,0.73679,10.67708,1.14201,0.58327,0.30400,0.60317,0.20321
0,patient12,0.84420,7.00000,0.83823,0.73041,0.32068,0.45783,0.24675
0,patient13,0.85515,3.00000,0.86455,0.74696,0.10390,0.16327,0.07619
0,patient14,0.76781,12.35717,1.12142,0.62312,0.25175,0.38298,0.18750
0,patient15,0.85387,2.23607,0.55352,0.74501,0.30137,0.40741,0.23913
0,patient16,0.77040,2.44949,0.68317,0.62654,0.28837,0.36471,0.23846
0,patient17,0.39492,21.48950,5.31521,0.24605,0.08108,0.10714,0.06522
0,patient18,0.56049,22.46739,3.24322,0.38936,0.28571,0.30000,0.27273
0,patient19,0.88863,2.23607,0.46962,0.79959,0.30097,0.46970,0.22143
0,patient20,0.63388,15.00000,1.86036,0.46400,0.27040,0.55238,0.17901
0,patient21,0.81084,5.79640,0.68595,0.68186,0.25182,0.46847,0.17219
0,patient22,0.77853,7.34847,0.84287,0.63737,0.36735,0.61017,0.26277
0,patient23,0.68650,10.29563,1.19229,0.52265,0.22865,0.47802,0.15026
0,patient24,0.49972,42.03569,6.99665,0.33308,0.22535,0.47059,0.14815
0,patient25,0.72758,10.86278,1.26928,0.57181,0.28311,0.45588,0.20530
0,patient26,0.80318,2.82843,0.72068,0.67109,0.28125,0.24324,0.33333
0,patient27,0.46458,26.13330,5.88635,0.30257,0.23214,0.37143,0.16883
0,patient28,0.73607,8.06226,1.15126,0.58237,0.54962,0.69903,0.45283
0,patient29,0.19022,88.87378,27.13894,0.10511,0.07407,0.25000,0.04348
0,patient30,0.41129,64.44300,12.28538,0.25888,0.16216,0.60000,0.09375
1,patient01,0.73771,10.04988,1.06104,0.58442,0.27972,0.50633,0.19324
1,patient02,0.47200,46.48007,8.36904,0.30890,0.19608,0.45455,0.12500
1,patient03,0.49171,34.33655,4.30092,0.32601,0.22222,0.40000,0.15385
1,patient04,0.81942,4.12311,0.83877,0.69408,0.30588,0.44318,0.23353
1,patient05,0.66262,12.04159,1.75929,0.49547,0.18634,0.42857,0.11905
1,patient06,0.79090,5.91608,0.82842,0.65413,0.18469,0.43931,0.11692
1,patient07,0.58866,18.43230,2.41244,0.41709,0.36923,0.75000,0.24490
1,patient08,0.63291,19.72308,2.52799,0.46296,0.34783,0.55172,0.25397
1,patient09,0.79890,10.04988,1.03269,0.66514,0.24186,0.44828,0.16561
1,patient10,0.80137,13.00000,1.20002,0.66857,0.36264,0.62264,0.25581
1,patient11,0.72784,15.36229,1.61693,0.57213,0.28571,0.55385,0.19251
1,patient12,0.85030,5.83095,0.74963,0.73959,0.31224,0.44578,0.24026
1,patient13,0.84884,6.00000,1.04487,0.73738,0.08571,0.17143,0.05714
1,patient14,0.75924,13.41641,1.30724,0.61192,0.21538,0.41176,0.14583
1,patient15,0.84685,3.00000,0.57999,0.73438,0.27027,0.35714,0.21739
1,patient16,0.75065,2.23607,0.73041,0.60083,0.28311,0.34831,0.23846
1,patient17,0.30349,17.39535,4.50721,0.17889,0.03175,0.05882,0.02174
1,patient18,0.59945,21.40794,1.76642,0.42801,0.27027,0.33333,0.22727
1,patient19,0.88985,2.44949,0.48910,0.80155,0.31579,0.47826,0.23571
1,patient20,0.59154,16.50605,2.19884,0.41999,0.20253,0.56338,0.12346
1,patient21,0.81146,5.65685,0.71011,0.68274,0.26341,0.50000,0.17881
1,patient22,0.77916,4.00000,0.66601,0.63822,0.35961,0.55303,0.26642
1,patient23,0.64043,9.79796,1.31804,0.47105,0.20260,0.40838,0.13472
1,patient24,0.45130,38.28180,9.55365,0.29141,0.28571,0.62500,0.18519
1,patient25,0.72222,12.84523,1.45069,0.56521,0.26794,0.48276,0.18543
1,patient26,0.81182,8.06226,1.06581,0.68324,0.35556,0.44444,0.29630
1,patient27,0.50415,27.00000,5.11161,0.33703,0.24242,0.54545,0.15584
1,patient28,0.75134,8.36660,0.99192,0.60172,0.51938,0.67677,0.42138
1,patient29,0.13245,89.72028,38.98129,0.07092,0.07407,0.25000,0.04348
1,patient30,0.40038,49.69053,9.78251,0.25030,0.10811,0.40000,0.06250
2,patient01,0.75464,8.12404,0.93361,0.60596,0.33108,0.55056,0.23671
2,patient02,0.59774,27.46179,4.58712,0.42627,0.29630,0.57143,0.20000
2,patient03,0.55757,15.65248,2.66615,0.38655,0.30769,0.46154,0.23077
2,patient04,0.79303,9.21954,1.01444,0.65705,0.34221,0.46875,0.26946
2,patient05,0.59702,18.19065,1.88634,0.42554,0.21839,0.39583,0.15079
2,patient06,0.79686,5.83095,0.75551,0.66231,0.24199,0.52850,0.15692
2,patient07,0.62643,17.32044,2.58439,0.45606,0.38806,0.72222,0.26531
2,patient08,0.62604,18.85601,2.49504,0.45565,0.30435,0.48276,0.22222
2,patient09,0.77391,9.64365,1.06377,0.63120,0.25926,0.47458,0.17834
2,patient10,0.77413,17.91647,1.73974,0.63149,0.38743,0.59677,0.28682
2,patient11,0.72821,10.04988,1.08139,0.57259,0.29688,0.55072,0.20321
2,patient12,0.83479,7.81025,0.83864,0.71643,0.32636,0.45882,0.25325
2,patient13,0.84856,5.09902,1.03705,0.73696,0.07143,0.14286,0.04762
2,patient14,0.77934,10.48809,0.98849,0.63846,0.24818,0.41463,0.17708
2,patient15,0.83075,11.83216,1.01694,0.71050,0.32911,0.39394,0.28261
2,patient16,0.76402,3.31662,0.76146,0.61815,0.34742,0.44578,0.28462
2,patient17,0.27688,20.26069,6.44288,0.16069,0.05634,0.08000,0.04348
2,patient18,0.51922,24.97297,4.65478,0.35064,0.35897,0.41176,0.31818
2,patient19,0.88059,3.31662,0.50952,0.78666,0.35023,0.49351,0.27143
2,patient20,0.60995,15.29706,2.05306,0.43880,0.27982,0.54464,0.18827
2,patient21,0.82143,5.00000,0.64376,0.69697,0.31555,0.52713,0.22517
2,patient22,0.78569,4.69042,0.69142,0.64703,0.40482,0.59574,0.30657
2,patient23,0.69014,10.00000,1.21583,0.52689,0.29740,0.52632,0.20725
2,patient24,0.60873,34.02633,4.68923,0.43754,0.41975,0.62963,0.31481
2,patient25,0.73014,12.12436,1.23317,0.57498,0.31441,0.46154,0.23841
2,patient26,0.79580,10.03980,1.11904,0.66086,0.38095,0.53333,0.29630
2,patient27,0.43548,23.06287,6.26994,0.27835,0.27068,0.32143,0.23377
2,patient28,0.74380,8.60233,1.19111,0.59211,0.52015,0.62281,0.44654
2,patient29,0.27733,54.62141,12.46707,0.16099,0.21429,0.60000,0.13043
2,patient30,0.37068,78.42990,17.76995,0.22750,0.05556,0.25000,0.03125
3,patient01,0.73226,8.30662,0.98005,0.57761,0.27931,0.48795,0.19565
3,patient02,0.47623,43.11148,11.34322,0.31254,0.23529,0.54545,0.15000
3,patient03,0.54136,26.96906,2.63016,0.37114,0.27778,0.50000,0.19231
3,patient04,0.81521,7.07107,0.99666,0.68806,0.31660,0.44565,0.24551
3,patient05,0.68576,6.70820,1.31646,0.52179,0.23333,0.38889,0.16667
3,patient06,0.79412,4.89898,0.78114,0.65855,0.18118,0.38500,0.11846
3,patient07,0.64038,21.57142,2.62474,0.47100,0.29412,0.52632,0.20408
3,patient08,0.63992,15.16575,2.00863,0.47050,0.42000,0.56757,0.33333
3,patient09,0.82227,7.07107,0.80579,0.69818,0.27778,0.50847,0.19108
3,patient10,0.79222,8.94427,1.34586,0.65593,0.46316,0.72131,0.34109
3,patient11,0.73977,9.00000,1.43538,0.58701,0.32061,0.56000,0.22460
3,patient12,0.83321,8.00000,0.86783,0.71410,0.30252,0.42857,0.23377
