fold,case_id,dice,hd95,assd,iou,lesion_f1,lesion_precision,lesion_recall
0,patient01,0.55138,19.33908,2.29927,0.38062,0.16697,0.33577,0.11111
0,patient04,0.42489,18.24829,3.02327,0.26976,0.15261,0.23171,0.11377
0,patient08,0.64694,19.39072,2.17457,0.47813,0.41441,0.47917,0.36508
0,patient09,0.72438,13.75499,1.37660,0.56787,0.19820,0.33846,0.14013
0,patient21,0.72389,10.04988,1.07452,0.56726,0.19512,0.37037,0.13245
0,patient24,0.41670,32.30615,6.54356,0.26318,0.23158,0.26829,0.20370
1,patient01,0.56726,15.39480,2.05080,0.39592,0.19308,0.39259,0.12802
1,patient04,0.40892,14.35270,2.86297,0.25700,0.12782,0.17172,0.10180
1,patient08,0.68068,9.53882,1.38435,0.51593,0.34146,0.35000,0.33333
1,patient09,0.73456,8.06226,1.06181,0.58047,0.22321,0.37313,0.15924
1,patient21,0.74388,8.54400,0.93490,0.59221,0.19851,0.39604,0.13245
1,patient24,0.41428,35.90265,8.32401,0.26126,0.29268,0.42857,0.22222
2,patient01,0.58014,18.41195,2.17870,0.40859,0.18148,0.38889,0.11836
2,patient04,0.51889,16.67333,2.74809,0.35034,0.14694,0.23077,0.10778
2,patient08,0.62207,15.39318,2.13061,0.45145,0.28571,0.28571,0.28571
2,patient09,0.74606,13.97139,1.33791,0.59497,0.23148,0.42373,0.15924
2,patient21,0.72843,10.24695,1.07726,0.57285,0.22055,0.45361,0.14570
2,patient24,0.38014,21.27907,7.29813,0.23468,0.31325,0.44828,0.24074
3,patient01,0.53128,19.54482,2.66750,0.36173,0.16387,0.35772,0.10628
3,patient04,0.36552,23.49468,4.78265,0.22363,0.12670,0.25926,0.08383
3,patient08,0.63847,13.41641,1.94813,0.46894,0.33010,0.42500,0.26984
3,patient09,0.70217,13.15295,1.42430,0.54103,0.19820,0.33846,0.14013
3,patient21,0.72025,11.35782,1.15799,0.56280,0.21026,0.46591,0.13576
3,patient24,0.34190,33.63032,8.06867,0.20620,0.25581,0.34375,0.20370
4,patient01,0.54391,16.76305,2.21893,0.37354,0.17786,0.35766,0.11836
4,patient04,0.34313,18.86796,4.02465,0.20710,0.13115,0.20779,0.09581
4,patient08,0.62408,7.21110,1.37715,0.45357,0.32432,0.37500,0.28571
4,patient09,0.70741,10.63953,1.28075,0.54728,0.23810,0.47170,0.15924
4,patient21,0.69020,9.64365,1.12766,0.52695,0.19277,0.35398,0.13245
4,patient24,0.44059,21.95791,6.25723,0.28254,0.26506,0.37931,0.20370
