fold,case_id,dice,hd95,assd,iou,lesion_f1,lesion_precision,lesion_recall
0,P54,0.71284,47.87170,3.68832,0.55381,0.61538,0.50000,0.80000
0,P55,0.66587,26.90353,3.06664,0.49910,0.43750,0.51852,0.37838
0,P56,0.77592,44.94107,3.07913,0.63388,0.60000,0.50000,0.75000
0,P57,0.76149,11.44552,1.30699,0.61484,0.21348,0.29231,0.16814
0,P58,0.63176,21.95450,3.09963,0.46173,0.39024,0.41026,0.37209
0,P59,0.42391,28.75847,4.21414,0.26896,0.14815,0.16667,0.13333
0,P60,0.64947,27.12562,2.68386,0.48090,0.45070,0.35556,0.61538
0,P61,0.73343,9.69482,1.39917,0.57907,0.36364,0.30000,0.46154
0,P62,0.73938,11.19596,1.40564,0.58652,0.54737,0.60465,0.50000
0,P63,0.77866,6.84763,1.74634,0.63755,0.55172,0.47059,0.66667
0,P64,0.68897,33.97646,2.77201,0.52551,0.40678,0.46154,0.36364
0,P65,0.79852,7.14143,0.80196,0.66461,0.61064,0.66463,0.56477
0,P66,0.71206,9.27362,1.47736,0.55287,0.37383,0.41667,0.33898
0,P67,0.71713,4.12311,1.17732,0.55901,0.36090,0.42857,0.31169
0,P68,0.63258,40.51846,3.59230,0.46260,0.55556,0.50000,0.62500
0,P69,0.80945,22.61411,2.29389,0.67989,0.61905,0.76471,0.52000
0,P70,0.56482,13.34166,2.17422,0.39355,0.34783,0.33333,0.36364
0,P71,0.74592,4.20080,0.89752,0.59480,0.52381,0.47826,0.57895
0,P72,0.85719,2.23607,0.77062,0.75007,0.30303,0.27778,0.33333
0,P73,0.73607,4.24264,0.94759,0.58237,0.45070,0.44444,0.45714
0,P74,0.68106,15.89962,1.89024,0.51637,0.42308,0.52381,0.35484
0,P75,0.74589,12.05403,1.56939,0.59476,0.51471,0.53030,0.50000
1,P54,0.79607,37.98980,2.43552,0.66123,0.50000,0.42857,0.60000
1,P55,0.68311,17.62950,1.90434,0.51873,0.47059,0.51613,0.43243
1,P56,0.79861,43.32205,2.30453,0.66474,0.60000,0.50000,0.75000
1,P57,0.74396,15.29706,1.68517,0.59231,0.19277,0.30189,0.14159
1,P58,0.63099,35.14683,4.50143,0.46091,0.43243,0.51613,0.37209
1,P59,0.46118,11.88905,2.61112,0.29969,0.20690,0.21429,0.20000
1,P60,0.56124,28.08914,3.81465,0.39009,0.49315,0.38298,0.69231
1,P61,0.73952,20.46943,1.90164,0.58669,0.37500,0.31579,0.46154
1,P62,0.76708,9.84886,0.94161,0.62216,0.63736,0.74359,0.55769
1,P63,0.78065,24.19710,2.04453,0.64022,0.56000,0.53846,0.58333
1,P64,0.65763,29.70858,2.91228,0.48990,0.35294,0.34286,0.36364
1,P65,0.78974,9.00000,0.87316,0.65254,0.58960,0.66667,0.52850
1,P66,0.72571,8.54400,1.31620,0.56950,0.37037,0.40816,0.33898
1,P67,0.75170,2.44949,1.01443,0.60218,0.43478,0.49180,0.38961
1,P68,0.60036,42.73523,4.81358,0.42894,0.42105,0.36364,0.50000
1,P69,0.81467,16.47368,1.68716,0.68729,0.59091,0.68421,0.52000
1,P70,0.52496,14.86607,2.49152,0.35590,0.32653,0.29630,0.36364
1,P71,0.69441,9.21954,1.63770,0.53188,0.35897,0.35000,0.36842
1,P72,0.82986,3.46410,1.03448,0.70920,0.32258,0.31250,0.33333
1,P73,0.70518,7.57951,1.24201,0.54462,0.47059,0.48485,0.45714
1,P74,0.66925,15.52417,1.83047,0.50291,0.48148,0.56522,0.41935
1,P75,0.77899,10.78423,1.20583,0.63799,0.51128,0.53968,0.48571
2,P54,0.74809,47.93587,3.78405,0.59755,0.54545,0.50000,0.60000
2,P55,0.66116,27.89265,2.94717,0.49383,0.41176,0.45161,0.37838
2,P56,0.67871,43.35665,3.36959,0.51368,0.44444,0.40000,0.50000
2,P57,0.74147,14.73092,1.64761,0.58916,0.20000,0.29825,0.15044
2,P58,0.63040,34.81520,4.73965,0.46028,0.40541,0.48387,0.34884
2,P59,0.42597,28.81664,5.10449,0.27063,0.22222,0.25000,0.20000
2,P60,0.64970,27.53180,2.67916,0.48115,0.47887,0.37778,0.65385
2,P61,0.71711,19.72814,1.91822,0.55898,0.31579,0.24000,0.46154
2,P62,0.73980,11.25603,1.53056,0.58704,0.56842,0.62791,0.51923
2,P63,0.78850,4.27171,1.43980,0.65084,0.58333,0.58333,0.58333
2,P64,0.69140,30.70177,3.24670,0.52835,0.43636,0.54545,0.36364
2,P65,0.79091,10.95445,0.99701,0.65414,0.61398,0.74265,0.52332
2,P66,0.68624,15.65248,1.84288,0.52235,0.33663,0.40476,0.28814
2,P67,0.72578,10.67708,1.46191,0.56958,0.34921,0.44898,0.28571
2,P68,0.45864,39.37315,5.26074,0.29755,0.10000,0.08333,0.12500
2,P69,0.82551,20.11467,1.78158,0.70286,0.65116,0.77778,0.56000
2,P70,0.47895,13.65283,2.58599,0.31488,0.48780,0.52632,0.45455
2,P71,0.68821,22.61854,2.57564,0.52464,0.52941,0.60000,0.47368
2,P72,0.86033,2.82843,0.90702,0.75489,0.41379,0.42857,0.40000
2,P73,0.70969,8.12404,1.35884,0.55002,0.43077,0.46667,0.40000
2,P74,0.67472,15.52417,1.65646,0.50911,0.52830,0.63636,0.45161
2,P75,0.78731,13.61248,1.28173,0.64922,0.56693,0.63158,0.51429
3,P54,0.77387,27.80399,1.57571,0.63114,0.36364,0.33333,0.40000
3,P55,0.66420,28.74018,3.41954,0.49723,0.56667,0.73913,0.45946
3,P56,0.78658,51.04900,3.70447,0.64823,0.40000,0.33333,0.50000
3,P57,0.71421,14.76482,1.75948,0.55546,0.15294,0.22807,0.11504
3,P58,0.64128,35.14683,4.15526,0.47198,0.42500,0.45946,0.39535
3,P59,0.43962,28.07757,4.65571,0.28174,0.23077,0.27273,0.20000
3,P60,0.63500,15.54509,2.30402,0.46521,0.45070,0.35556,0.61538
3,P61,0.72319,11.87434,1.52811,0.56641,0.32432,0.25000,0.46154
3,P62,0.75395,12.05610,1.21623,0.60507,0.60674,0.72973,0.51923
3,P63,0.78803,5.86075,1.63673,0.65020,0.66667,0.66667,0.66667
3,P64,0.73237,31.54996,2.58007,0.57775,0.51724,0.60000,0.45455
3,P65,0.79124,10.81665,1.08296,0.65458,0.57396,0.66897,0.50259
3,P66,0.71937,12.72792,1.62916,0.56173,0.37255,0.44186,0.32203
3,P67,0.74681,3.00000,1.16381,0.59592,0.37594,0.44643,0.32468
3,P68,0.53759,47.53525,7.44646,0.36760,0.20000,0.16667,0.25000
3,P69,0.82441,19.37006,1.71731,0.70128,0.59091,0.68421,0.52000
3,P70,0.52308,13.60147,2.34870,0.35417,0.45455,0.45455,0.45455
3,P71,0.72288,23.59343,2.27274,0.56602,0.51429,0.56250,0.47368
3,P72,0.85213,3.00000,0.83995,0.74236,0.31250,0.29412,0.33333
3,P73,0.69935,6.40312,1.10611,0.53769,0.50704,0.50000,0.51429
3,P74,0.68348,15.86814,1.93332,0.51916,0.60714,0.68000,0.54839
3,P75,0.77932,16.12452,1.66133,0.63844,0.57812,0.63793,0.52857
4,P54,0.81019,35.12122,1.45215,0.68095,0.72727,0.66667,0.80000
4,P55,0.67132,26.68333,2.98091,0.50525,0.43750,0.51852,0.37838
4,P56,0.73453,49.94493,4.25441,0.58044,0.44444,0.40000,0.50000
4,P57,0.73104,15.06652,1.71131,0.57610,0.16092,0.22951,0.12389
4,P58,0.64032,35.14683,4.25088,0.47093,0.43038,0.47222,0.39535
4,P59,0.44257,27.24787,5.35190,0.28417,0.18182,0.16667,0.20000
4,P60,0.64448,27.51363,3.14388,0.47545,0.45714,0.36364,0.61538
4,P61,0.72156,13.33979,1.60146,0.56440,0.26667,0.18750,0.46154
4,P62,0.71686,13.49074,1.77438,0.55868,0.60674,0.72973,0.51923
4,P63,0.75579,19.55050,2.43577,0.60744,0.57143,0.50000,0.66667
4,P64,0.70030,29.14447,2.44787,0.53881,0.33333,0.42857,0.27273
4,P65,0.79877,9.84886,0.91138,0.66497,0.59763,0.69655,0.52332
4,P66,0.72169,8.71780,1.40069,0.56457,0.37037,0.40816,0.33898
4,P67,0.75715,3.00000,0.92215,0.60921,0.38519,0.44828,0.33766
4,P68,0.64911,36.84016,3.03910,0.48051,0.50000,0.50000,0.50000
4,P69,0.82039,19.71294,1.79039,0.69548,0.59091,0.68421,0.52000
4,P70,0.56235,15.45633,2.41436,0.39116,0.32653,0.29630,0.36364
4,P71,0.71644,9.23566,1.29057,0.55817,0.45000,0.42857,0.47368
4,P72,0.82441,3.60555,1.13580,0.70128,0.31250,0.29412,0.33333
4,P73,0.72596,5.42659,0.97855,0.56981,0.45070,0.44444,0.45714
4,P74,0.70212,15.54348,1.59616,0.54097,0.58182,0.66667,0.51613
4,P75,0.77765,9.64365,1.26254,0.63619,0.49612,0.54237,0.45714
